problem,solution,answer
"Fifteen integers $a_1, a_2, a_3, \dots, a_{15}$ are arranged in order on a number line. The integers are equally spaced and have the property that \[1 \le a_1 \le 10, \thickspace 13 \le a_2 \le 20, \thickspace \text{ and } \thickspace 241 \le a_{15}\le 250.\] What is the sum of digits of $a_{14}?$
$\textbf{(A)}\ 8 \qquad \textbf{(B)}\ 9 \qquad \textbf{(C)}\ 10 \qquad \textbf{(D)}\ 11 \qquad \textbf{(E)}\ 12$","Let the common difference between consecutive $a_i$ be $d$ . 
Since $a_{15} - a_1 = 14d$ , we find from the first and last inequalities that $231 \le 14d \le 249$ . As $d$ must be an integer, this means $d = 17$ . Substituting this into all of the given inequalities so we may extract information about $a_1$ gives \[1 \le a_1 \le 10, \thickspace 13 \le a_1 + 17 \le 20, \thickspace 241 \le a_1 + 238 \le 250.\] The second inequality tells us that $1 \le a_1 \le 3$ while the last inequality tells us $3 \le a_1 \le 12$ , so we must have $a_1 = 3$ . Finally, to solve for $a_{14}$ , we simply have $a_{14} = a_1 + 13d = 3 + 13(17) = 3 + 221 = 224$ , so our answer is $2 + 2 + 4 = \boxed{8}$",8
"The Math Team designed a logo shaped like a multiplication symbol, shown below on a grid of 1-inch squares. What is the area of the logo in square inches?
[asy] defaultpen(linewidth(0.5)); size(5cm); defaultpen(fontsize(14pt)); label(""$\textbf{Math}$"", (2.1,3.7)--(3.9,3.7)); label(""$\textbf{Team}$"", (2.1,3)--(3.9,3)); filldraw((1,2)--(2,1)--(3,2)--(4,1)--(5,2)--(4,3)--(5,4)--(4,5)--(3,4)--(2,5)--(1,4)--(2,3)--(1,2)--cycle, mediumgray*0.5 + lightgray*0.5);  draw((0,0)--(6,0), gray); draw((0,1)--(6,1), gray); draw((0,2)--(6,2), gray); draw((0,3)--(6,3), gray); draw((0,4)--(6,4), gray); draw((0,5)--(6,5), gray); draw((0,6)--(6,6), gray);  draw((0,0)--(0,6), gray); draw((1,0)--(1,6), gray); draw((2,0)--(2,6), gray); draw((3,0)--(3,6), gray); draw((4,0)--(4,6), gray); draw((5,0)--(5,6), gray); draw((6,0)--(6,6), gray); [/asy]
$\textbf{(A) } 10 \qquad \textbf{(B) } 12 \qquad \textbf{(C) } 13 \qquad \textbf{(D) } 14 \qquad \textbf{(E) } 15$","Draw the following four lines as shown: [asy] usepackage(""mathptmx""); defaultpen(linewidth(0.5)); size(5cm); defaultpen(fontsize(14pt)); label(""$\textbf{Math}$"", (2.1,3.7)--(3.9,3.7)); label(""$\textbf{Team}$"", (2.1,3)--(3.9,3)); filldraw((1,2)--(2,1)--(3,2)--(4,1)--(5,2)--(4,3)--(5,4)--(4,5)--(3,4)--(2,5)--(1,4)--(2,3)--(1,2)--cycle, mediumgray*0.5 + lightgray*0.5);  draw((0,0)--(6,0), gray); draw((0,1)--(6,1), gray); draw((0,2)--(6,2), gray); draw((0,3)--(6,3), gray); draw((0,4)--(6,4), gray); draw((0,5)--(6,5), gray); draw((0,6)--(6,6), gray);  draw((0,0)--(0,6), gray); draw((1,0)--(1,6), gray); draw((2,0)--(2,6), gray); draw((3,0)--(3,6), gray); draw((4,0)--(4,6), gray); draw((5,0)--(5,6), gray); draw((6,0)--(6,6), gray);  draw((3,4)--(4,3), red); draw((4,3)--(3,2), red); draw((3,2)--(2,3), red); draw((2,3)--(3,4), red); [/asy]
We see these lines split the figure into five squares with side length $\sqrt2$ . Thus, the area is $5\cdot\left(\sqrt2\right)^2=5\cdot 2 = \boxed{10}$",10
"The Math Team designed a logo shaped like a multiplication symbol, shown below on a grid of 1-inch squares. What is the area of the logo in square inches?
[asy] defaultpen(linewidth(0.5)); size(5cm); defaultpen(fontsize(14pt)); label(""$\textbf{Math}$"", (2.1,3.7)--(3.9,3.7)); label(""$\textbf{Team}$"", (2.1,3)--(3.9,3)); filldraw((1,2)--(2,1)--(3,2)--(4,1)--(5,2)--(4,3)--(5,4)--(4,5)--(3,4)--(2,5)--(1,4)--(2,3)--(1,2)--cycle, mediumgray*0.5 + lightgray*0.5);  draw((0,0)--(6,0), gray); draw((0,1)--(6,1), gray); draw((0,2)--(6,2), gray); draw((0,3)--(6,3), gray); draw((0,4)--(6,4), gray); draw((0,5)--(6,5), gray); draw((0,6)--(6,6), gray);  draw((0,0)--(0,6), gray); draw((1,0)--(1,6), gray); draw((2,0)--(2,6), gray); draw((3,0)--(3,6), gray); draw((4,0)--(4,6), gray); draw((5,0)--(5,6), gray); draw((6,0)--(6,6), gray); [/asy]
$\textbf{(A) } 10 \qquad \textbf{(B) } 12 \qquad \textbf{(C) } 13 \qquad \textbf{(D) } 14 \qquad \textbf{(E) } 15$","There are $5$ lattice points in the interior of the logo and $12$ lattice points on the boundary of the logo. Because of Pick's Theorem, the area of the logo is $5+\frac{12}{2}-1=\boxed{10}$",10
"The Math Team designed a logo shaped like a multiplication symbol, shown below on a grid of 1-inch squares. What is the area of the logo in square inches?
[asy] defaultpen(linewidth(0.5)); size(5cm); defaultpen(fontsize(14pt)); label(""$\textbf{Math}$"", (2.1,3.7)--(3.9,3.7)); label(""$\textbf{Team}$"", (2.1,3)--(3.9,3)); filldraw((1,2)--(2,1)--(3,2)--(4,1)--(5,2)--(4,3)--(5,4)--(4,5)--(3,4)--(2,5)--(1,4)--(2,3)--(1,2)--cycle, mediumgray*0.5 + lightgray*0.5);  draw((0,0)--(6,0), gray); draw((0,1)--(6,1), gray); draw((0,2)--(6,2), gray); draw((0,3)--(6,3), gray); draw((0,4)--(6,4), gray); draw((0,5)--(6,5), gray); draw((0,6)--(6,6), gray);  draw((0,0)--(0,6), gray); draw((1,0)--(1,6), gray); draw((2,0)--(2,6), gray); draw((3,0)--(3,6), gray); draw((4,0)--(4,6), gray); draw((5,0)--(5,6), gray); draw((6,0)--(6,6), gray); [/asy]
$\textbf{(A) } 10 \qquad \textbf{(B) } 12 \qquad \textbf{(C) } 13 \qquad \textbf{(D) } 14 \qquad \textbf{(E) } 15$","Notice that the area of the figure is equal to the area of the $4 \times 4$ square subtracted by the $12$ triangles that are half the area of each square, which is $1$ . The total area of the triangles not in the figure is $12 \cdot \frac{1}{2} = 6$ , so the answer is $16-6 = \boxed{10}$",10
"The Math Team designed a logo shaped like a multiplication symbol, shown below on a grid of 1-inch squares. What is the area of the logo in square inches?
[asy] defaultpen(linewidth(0.5)); size(5cm); defaultpen(fontsize(14pt)); label(""$\textbf{Math}$"", (2.1,3.7)--(3.9,3.7)); label(""$\textbf{Team}$"", (2.1,3)--(3.9,3)); filldraw((1,2)--(2,1)--(3,2)--(4,1)--(5,2)--(4,3)--(5,4)--(4,5)--(3,4)--(2,5)--(1,4)--(2,3)--(1,2)--cycle, mediumgray*0.5 + lightgray*0.5);  draw((0,0)--(6,0), gray); draw((0,1)--(6,1), gray); draw((0,2)--(6,2), gray); draw((0,3)--(6,3), gray); draw((0,4)--(6,4), gray); draw((0,5)--(6,5), gray); draw((0,6)--(6,6), gray);  draw((0,0)--(0,6), gray); draw((1,0)--(1,6), gray); draw((2,0)--(2,6), gray); draw((3,0)--(3,6), gray); draw((4,0)--(4,6), gray); draw((5,0)--(5,6), gray); draw((6,0)--(6,6), gray); [/asy]
$\textbf{(A) } 10 \qquad \textbf{(B) } 12 \qquad \textbf{(C) } 13 \qquad \textbf{(D) } 14 \qquad \textbf{(E) } 15$","Draw the following four lines as shown:
[asy] usepackage(""mathptmx""); defaultpen(linewidth(0.5)); size(5cm); defaultpen(fontsize(14pt)); label(""$\textbf{Math}$"", (2.1,3.7)--(3.9,3.7)); label(""$\textbf{Team}$"", (2.1,3)--(3.9,3)); filldraw((1,2)--(2,1)--(3,2)--(4,1)--(5,2)--(4,3)--(5,4)--(4,5)--(3,4)--(2,5)--(1,4)--(2,3)--(1,2)--cycle, mediumgray*0.5 + lightgray*0.5);  draw((0,0)--(6,0), gray); draw((0,1)--(6,1), gray); draw((0,2)--(6,2), gray); draw((0,3)--(6,3), gray); draw((0,4)--(6,4), gray); draw((0,5)--(6,5), gray); draw((0,6)--(6,6), gray);  draw((0,0)--(0,6), gray); draw((1,0)--(1,6), gray); draw((2,0)--(2,6), gray); draw((3,0)--(3,6), gray); draw((4,0)--(4,6), gray); draw((5,0)--(5,6), gray); draw((6,0)--(6,6), gray);  draw((2,4)--(4,4), red); draw((4,4)--(4,2), red); draw((4,2)--(2,2), red); draw((2,2)--(2,4), red); [/asy]
The area of the big square is $4$ , and the area of each triangle is $0.5$ . There are $12$ of these triangles, so the total area of all the triangles is $0.5\cdot12=6$ . Therefore, the area of the entire figure is $4+6=\boxed{10}$",10
"The Math Team designed a logo shaped like a multiplication symbol, shown below on a grid of 1-inch squares. What is the area of the logo in square inches?
[asy] defaultpen(linewidth(0.5)); size(5cm); defaultpen(fontsize(14pt)); label(""$\textbf{Math}$"", (2.1,3.7)--(3.9,3.7)); label(""$\textbf{Team}$"", (2.1,3)--(3.9,3)); filldraw((1,2)--(2,1)--(3,2)--(4,1)--(5,2)--(4,3)--(5,4)--(4,5)--(3,4)--(2,5)--(1,4)--(2,3)--(1,2)--cycle, mediumgray*0.5 + lightgray*0.5);  draw((0,0)--(6,0), gray); draw((0,1)--(6,1), gray); draw((0,2)--(6,2), gray); draw((0,3)--(6,3), gray); draw((0,4)--(6,4), gray); draw((0,5)--(6,5), gray); draw((0,6)--(6,6), gray);  draw((0,0)--(0,6), gray); draw((1,0)--(1,6), gray); draw((2,0)--(2,6), gray); draw((3,0)--(3,6), gray); draw((4,0)--(4,6), gray); draw((5,0)--(5,6), gray); draw((6,0)--(6,6), gray); [/asy]
$\textbf{(A) } 10 \qquad \textbf{(B) } 12 \qquad \textbf{(C) } 13 \qquad \textbf{(D) } 14 \qquad \textbf{(E) } 15$","The coordinates are $(1,2), (2,1), (3,2), (4,1), (5,2), (4,3), (5,4), (4,5), (3,4), (2,5), (1,4), (2,3)$ Use the Shoelace Theorem to get $\boxed{10}$",10
"The Math Team designed a logo shaped like a multiplication symbol, shown below on a grid of 1-inch squares. What is the area of the logo in square inches?
[asy] defaultpen(linewidth(0.5)); size(5cm); defaultpen(fontsize(14pt)); label(""$\textbf{Math}$"", (2.1,3.7)--(3.9,3.7)); label(""$\textbf{Team}$"", (2.1,3)--(3.9,3)); filldraw((1,2)--(2,1)--(3,2)--(4,1)--(5,2)--(4,3)--(5,4)--(4,5)--(3,4)--(2,5)--(1,4)--(2,3)--(1,2)--cycle, mediumgray*0.5 + lightgray*0.5);  draw((0,0)--(6,0), gray); draw((0,1)--(6,1), gray); draw((0,2)--(6,2), gray); draw((0,3)--(6,3), gray); draw((0,4)--(6,4), gray); draw((0,5)--(6,5), gray); draw((0,6)--(6,6), gray);  draw((0,0)--(0,6), gray); draw((1,0)--(1,6), gray); draw((2,0)--(2,6), gray); draw((3,0)--(3,6), gray); draw((4,0)--(4,6), gray); draw((5,0)--(5,6), gray); draw((6,0)--(6,6), gray); [/asy]
$\textbf{(A) } 10 \qquad \textbf{(B) } 12 \qquad \textbf{(C) } 13 \qquad \textbf{(D) } 14 \qquad \textbf{(E) } 15$","If the triangles are rearranged such that the gaps are filled, there would be a $4$ by $2$ rectangle, and two $1$ by $1$ squares are present. Thus, the answer is $\boxed{10}$",10
"Consider these two operations: \begin{align*} a \, \blacklozenge \, b &= a^2 - b^2\\ a \, \bigstar \, b &= (a - b)^2 \end{align*} What is the output of $(5 \, \blacklozenge \, 3) \, \bigstar \, 6?$
$\textbf{(A) } {-}20 \qquad \textbf{(B) } 4 \qquad \textbf{(C) } 16 \qquad \textbf{(D) } 100 \qquad \textbf{(E) } 220$","We can substitute $5$ $3$ , and $6$ into the functions' definitions: \begin{align*} (5 \, \blacklozenge \, 3) \, \bigstar \, 6 &= \left(5^2-3^2\right) \, \bigstar \, 6 \\ (5 \, \blacklozenge \, 3) \, \bigstar \, 6 &= \left(25-9\right) \, \bigstar \, 6 \\ &= 16 \, \bigstar \, 6 \\ &= (16-6)^2 \\ &= \boxed{100} ~pog ~MathFun1000 (Minor Edits)",100
"When three positive integers $a$ $b$ , and $c$ are multiplied together, their product is $100$ . Suppose $a < b < c$ . In how many ways can the numbers be chosen?
$\textbf{(A) } 0 \qquad \textbf{(B) } 1\qquad\textbf{(C) } 2\qquad\textbf{(D) } 3\qquad\textbf{(E) } 4$","The positive divisors of $100$ are \[1,2,4,5,10,20,25,50,100.\] It is clear that $10\leq c\leq50,$ so we apply casework to $c:$
Together, the numbers $a,b,$ and $c$ can be chosen in $\boxed{4}$ ways.",4
"When three positive integers $a$ $b$ , and $c$ are multiplied together, their product is $100$ . Suppose $a < b < c$ . In how many ways can the numbers be chosen?
$\textbf{(A) } 0 \qquad \textbf{(B) } 1\qquad\textbf{(C) } 2\qquad\textbf{(D) } 3\qquad\textbf{(E) } 4$","The positive divisors of $100$ are \[1,2,4,5,10,20,25,50,100.\] We apply casework to $a$
If $a=1$ , then there are $3$ cases:
If $a=2$ , then there is only $1$ case:
In total, there are $3+1=\boxed{4}$ ways to choose distinct positive integer values of $a,b,c$",4
"Anna and Bella are celebrating their birthdays together. Five years ago, when Bella turned $6$ years old, she received a newborn kitten as a birthday present. Today the sum of the ages of the two children and the kitten is $30$ years. How many years older than Bella is Anna?
$\textbf{(A) } 1 \qquad \textbf{(B) } 2 \qquad \textbf{(C) } 3 \qquad \textbf{(D) } 4 \qquad \textbf{(E) } ~5$","Five years ago, Bella was $6$ years old, and the kitten was $0$ years old.
Today, Bella is $11$ years old, and the kitten is $5$ years old. It follows that Anna is $30-11-5=14$ years old.
Therefore, Anna is $14-11=\boxed{3}$ years older than Bella.",3
"Three positive integers are equally spaced on a number line. The middle number is $15,$ and the largest number is $4$ times the smallest number. What is the smallest of these three numbers?
$\textbf{(A) } 4 \qquad \textbf{(B) } 5 \qquad \textbf{(C) } 6 \qquad \textbf{(D) } 7 \qquad \textbf{(E) } 8$","Let the smallest number be $x.$ It follows that the largest number is $4x.$
Since $x,15,$ and $4x$ are equally spaced on a number line, we have \begin{align*} 4x-15 &= 15-x \\ 5x &= 30 \\ x &= \boxed{6} ~MRENTHUSIASM",6
"Three positive integers are equally spaced on a number line. The middle number is $15,$ and the largest number is $4$ times the smallest number. What is the smallest of these three numbers?
$\textbf{(A) } 4 \qquad \textbf{(B) } 5 \qquad \textbf{(C) } 6 \qquad \textbf{(D) } 7 \qquad \textbf{(E) } 8$","Let the common difference of the arithmetic sequence be $d$ . Consequently, the smallest number is $15-d$ and the largest number is $15+d$ . As the largest number is $4$ times the smallest number, $15+d=60-4d\implies d=9$ . Finally, we find that the smallest number is $15-9=\boxed{6}$",6
"Three positive integers are equally spaced on a number line. The middle number is $15,$ and the largest number is $4$ times the smallest number. What is the smallest of these three numbers?
$\textbf{(A) } 4 \qquad \textbf{(B) } 5 \qquad \textbf{(C) } 6 \qquad \textbf{(D) } 7 \qquad \textbf{(E) } 8$","Let the smallest number be $x$ . Since the integers are equally spaced, and there are three of them, the middle number ( $15$ ) is the arithmetic mean of the other two numbers ( $x$ and $4x$ ). Thus, we set up the equation $(4x + x)/3 = 15$ , and, solving for $x$ , get $x = 6$ . Since $6$ is the smallest number out of the list $6, 15, 24$ $24$ because it equals $4x$ ), the answer is $\boxed{6}$",6
"Three positive integers are equally spaced on a number line. The middle number is $15,$ and the largest number is $4$ times the smallest number. What is the smallest of these three numbers?
$\textbf{(A) } 4 \qquad \textbf{(B) } 5 \qquad \textbf{(C) } 6 \qquad \textbf{(D) } 7 \qquad \textbf{(E) } 8$","Let the smallest number be $x$ . Because $x$ and $4x$ are equally spaced from $15$ $15$ must be the average. By adding $x$ and $4x$ and dividing by $2$ , we get that the mean is also $2.5x$ . We get that $2.5x=15$ , and solving gets $x=\boxed{6}$",6
"When the World Wide Web first became popular in the $1990$ s, download speeds reached a maximum of about $56$ kilobits per second. Approximately how many minutes would the download of a $4.2$ -megabyte song have taken at that speed? (Note that there are $8000$ kilobits in a megabyte.)
$\textbf{(A) } 0.6 \qquad \textbf{(B) } 10 \qquad \textbf{(C) } 1800 \qquad \textbf{(D) } 7200 \qquad \textbf{(E) } 36000$","Notice that the number of kilobits in this song is $4.2 \cdot 8000 = 8 \cdot 7 \cdot 6 \cdot 100.$
We must divide this by $56$ in order to find out how many seconds this song would take to download: $\frac{\cancel{8}\cdot\cancel{7}\cdot6\cdot100}{\cancel{56}} = 600.$
Finally, we divide  this number by $60$ because this is the number of seconds to get the answer $\frac{600}{60}=\boxed{10}.$",10
"When the World Wide Web first became popular in the $1990$ s, download speeds reached a maximum of about $56$ kilobits per second. Approximately how many minutes would the download of a $4.2$ -megabyte song have taken at that speed? (Note that there are $8000$ kilobits in a megabyte.)
$\textbf{(A) } 0.6 \qquad \textbf{(B) } 10 \qquad \textbf{(C) } 1800 \qquad \textbf{(D) } 7200 \qquad \textbf{(E) } 36000$","We seek a value of $x$ that makes the following equation true, since every other quantity equals $1$
\[\frac{x\ \text{min}}{4.2\ \text{mb}} \cdot \frac{56\ \text{kb}}{1\ \text{sec}} \cdot \frac{1\ \text{mb}}{8000\ \text{kb}} \cdot \frac{60\ \text{sec}}{1\ \text{min}} = 1.\] Solving yields $x=\boxed{10}$",10
"A cup of boiling water ( $212^{\circ}\text{F}$ ) is placed to cool in a room whose temperature remains constant at $68^{\circ}\text{F}$ . Suppose the difference between the water temperature and the room temperature is halved every $5$ minutes. What is the water temperature, in degrees Fahrenheit, after $15$ minutes?
$\textbf{(A) } 77 \qquad \textbf{(B) } 86 \qquad \textbf{(C) } 92 \qquad \textbf{(D) } 98 \qquad \textbf{(E) } 104$","Initially, the difference between the water temperature and the room temperature is $212-68=144$ degrees Fahrenheit.
After $5$ minutes, the difference between the temperatures is $144\div2=72$ degrees Fahrenheit.
After $10$ minutes, the difference between the temperatures is $72\div2=36$ degrees Fahrenheit.
After $15$ minutes, the difference between the temperatures is $36\div2=18$ degrees Fahrenheit. At this point, the water temperature is $68+18=\boxed{86}$ degrees Fahrenheit.",86
"Henry the donkey has a very long piece of pasta. He takes a number of bites of pasta, each time eating $3$ inches of pasta from the middle of one piece. In the end, he has $10$ pieces of pasta whose total length is $17$ inches. How long, in inches, was the piece of pasta he started with?
$\textbf{(A) } 34\qquad\textbf{(B) } 38\qquad\textbf{(C) } 41\qquad\textbf{(D) } 44\qquad\textbf{(E) } 47$","If there are $10$ pieces of pasta, Henry took $10-1=9$ bites. Each of these $9$ bites took $3$ inches of pasta out, and thus his bites in total took away $9\cdot 3 = 27$ inches of pasta. Thus, the original piece of pasta was $27+17=\boxed{44}$ inches long.",44
"How many positive integers can fill the blank in the sentence below?
“One positive integer is _____ more than twice another, and the sum of the two numbers is $28$ .”
$\textbf{(A) } 6 \qquad \textbf{(B) } 7 \qquad \textbf{(C) } 8 \qquad \textbf{(D) } 9 \qquad \textbf{(E) } 10$","Let $m$ and $n$ be positive integers such that $m>n$ and $m+n=28.$ It follows that $m=2n+d$ for some positive integer $d.$ We wish to find the number of possible values for $d.$
By substitution, we have $(2n+d)+n=28,$ from which $d=28-3n.$ Note that $n=1,2,3,\ldots,9$ each generate a positive integer for $d,$ so there are $\boxed{9}$ possible values for $d.$",9
"In how many ways can the letters in $\textbf{BEEKEEPER}$ be rearranged so that two or more $\textbf{E}$ s do not appear together?
$\textbf{(A) } 1 \qquad \textbf{(B) } 4 \qquad \textbf{(C) } 12 \qquad \textbf{(D) } 24 \qquad \textbf{(E) } 120$","All valid arrangements of the letters must be of the form \[\textbf{E\underline{\hspace{3mm}}E\underline{\hspace{3mm}}E\underline{\hspace{3mm}}E\underline{\hspace{3mm}}E}.\] The problem is equivalent to counting the arrangements of $\textbf{B},\textbf{K},\textbf{P},$ and $\textbf{R}$ into the four blanks, in which there are $4!=\boxed{24}$ ways.",24
"Laszlo went online to shop for black pepper and found thirty different black pepper options varying in weight and price, shown in the scatter plot below. In ounces, what is the weight of the pepper that offers the lowest price per ounce?
[asy] //diagram by pog size(5.5cm); usepackage(""mathptmx""); defaultpen(mediumgray*0.5+gray*0.5+linewidth(0.63)); add(grid(6,6)); label(scale(0.7)*""$1$"", (1,-0.3), black); label(scale(0.7)*""$2$"", (2,-0.3), black); label(scale(0.7)*""$3$"", (3,-0.3), black); label(scale(0.7)*""$4$"", (4,-0.3), black); label(scale(0.7)*""$5$"", (5,-0.3), black); label(scale(0.7)*""$1$"", (-0.3,1), black); label(scale(0.7)*""$2$"", (-0.3,2), black); label(scale(0.7)*""$3$"", (-0.3,3), black); label(scale(0.7)*""$4$"", (-0.3,4), black); label(scale(0.7)*""$5$"", (-0.3,5), black); label(scale(0.8)*rotate(90)*""Price (dollars)"", (-1,3.2), black); label(scale(0.8)*""Weight (ounces)"", (3.2,-1), black); dot((1,1.2),black); dot((1,1.7),black); dot((1,2),black); dot((1,2.8),black);  dot((1.5,2.1),black); dot((1.5,3),black); dot((1.5,3.3),black); dot((1.5,3.75),black);  dot((2,2),black); dot((2,2.9),black); dot((2,3),black); dot((2,4),black); dot((2,4.35),black); dot((2,4.8),black);  dot((2.5,2.7),black); dot((2.5,3.7),black); dot((2.5,4.2),black); dot((2.5,4.4),black);  dot((3,2.5),black); dot((3,3.4),black); dot((3,4.2),black);  dot((3.5,3.8),black); dot((3.5,4.5),black); dot((3.5,4.8),black);  dot((4,3.9),black); dot((4,5.1),black);  dot((4.5,4.75),black); dot((4.5,5),black);  dot((5,4.5),black); dot((5,5),black); [/asy]
$\textbf{(A) }1\qquad\textbf{(B) }2\qquad\textbf{(C) }3\qquad\textbf{(D) }4\qquad\textbf{(E) }5$","[asy] //diagram by pog size(5.5cm); usepackage(""mathptmx""); defaultpen(mediumgray*0.5+gray*0.5+linewidth(0.63)); add(grid(6,6)); label(scale(0.7)*""$1$"", (1,-0.3), black); label(scale(0.7)*""$2$"", (2,-0.3), black); label(scale(0.7)*""$3$"", (3,-0.3), black); label(scale(0.7)*""$4$"", (4,-0.3), black); label(scale(0.7)*""$5$"", (5,-0.3), black); label(scale(0.7)*""$1$"", (-0.3,1), black); label(scale(0.7)*""$2$"", (-0.3,2), black); label(scale(0.7)*""$3$"", (-0.3,3), black); label(scale(0.7)*""$4$"", (-0.3,4), black); label(scale(0.7)*""$5$"", (-0.3,5), black); label(scale(0.8)*rotate(90)*""Price (dollars)"", (-1,3.2), black); label(scale(0.8)*""Weight (ounces)"", (3.2,-1), black); draw((0,0)--(6,5),red);  dot((1,1.2),black); dot((1,1.7),black); dot((1,2),black); dot((1,2.8),black);  dot((1.5,2.1),black); dot((1.5,3),black); dot((1.5,3.3),black); dot((1.5,3.75),black);  dot((2,2),black); dot((2,2.9),black); dot((2,3),black); dot((2,4),black); dot((2,4.35),black); dot((2,4.8),black);  dot((2.5,2.7),black); dot((2.5,3.7),black); dot((2.5,4.2),black); dot((2.5,4.4),black);  dot((3,2.5),blue); dot((3,3.4),black); dot((3,4.2),black);  dot((3.5,3.8),black); dot((3.5,4.5),black); dot((3.5,4.8),black);  dot((4,3.9),black); dot((4,5.1),black);  dot((4.5,4.75),black); dot((4.5,5),black);  dot((5,4.5),black); dot((5,5),black); [/asy]
We are looking for a black point, that when connected to the origin, yields the lowest slope. The slope represents the price per ounce. We can visually find that the point with the lowest slope is the blue point. Furthermore, it is the only one with a price per ounce significantly less than $1$ . Finally, we see that the blue point is in the category with a weight of $\boxed{3}$ ounces.",3
"Laszlo went online to shop for black pepper and found thirty different black pepper options varying in weight and price, shown in the scatter plot below. In ounces, what is the weight of the pepper that offers the lowest price per ounce?
[asy] //diagram by pog size(5.5cm); usepackage(""mathptmx""); defaultpen(mediumgray*0.5+gray*0.5+linewidth(0.63)); add(grid(6,6)); label(scale(0.7)*""$1$"", (1,-0.3), black); label(scale(0.7)*""$2$"", (2,-0.3), black); label(scale(0.7)*""$3$"", (3,-0.3), black); label(scale(0.7)*""$4$"", (4,-0.3), black); label(scale(0.7)*""$5$"", (5,-0.3), black); label(scale(0.7)*""$1$"", (-0.3,1), black); label(scale(0.7)*""$2$"", (-0.3,2), black); label(scale(0.7)*""$3$"", (-0.3,3), black); label(scale(0.7)*""$4$"", (-0.3,4), black); label(scale(0.7)*""$5$"", (-0.3,5), black); label(scale(0.8)*rotate(90)*""Price (dollars)"", (-1,3.2), black); label(scale(0.8)*""Weight (ounces)"", (3.2,-1), black); dot((1,1.2),black); dot((1,1.7),black); dot((1,2),black); dot((1,2.8),black);  dot((1.5,2.1),black); dot((1.5,3),black); dot((1.5,3.3),black); dot((1.5,3.75),black);  dot((2,2),black); dot((2,2.9),black); dot((2,3),black); dot((2,4),black); dot((2,4.35),black); dot((2,4.8),black);  dot((2.5,2.7),black); dot((2.5,3.7),black); dot((2.5,4.2),black); dot((2.5,4.4),black);  dot((3,2.5),black); dot((3,3.4),black); dot((3,4.2),black);  dot((3.5,3.8),black); dot((3.5,4.5),black); dot((3.5,4.8),black);  dot((4,3.9),black); dot((4,5.1),black);  dot((4.5,4.75),black); dot((4.5,5),black);  dot((5,4.5),black); dot((5,5),black); [/asy]
$\textbf{(A) }1\qquad\textbf{(B) }2\qquad\textbf{(C) }3\qquad\textbf{(D) }4\qquad\textbf{(E) }5$","By the answer choices, we can disregard the points that do not have integer weights. As a result, we obtain the following diagram:
[asy] //diagram by pog size(5.5cm); usepackage(""mathptmx""); defaultpen(mediumgray*0.5+gray*0.5+linewidth(0.63)); add(grid(6,6)); label(scale(0.7)*""$1$"", (1,-0.3), black); label(scale(0.7)*""$2$"", (2,-0.3), black); label(scale(0.7)*""$3$"", (3,-0.3), black); label(scale(0.7)*""$4$"", (4,-0.3), black); label(scale(0.7)*""$5$"", (5,-0.3), black); label(scale(0.7)*""$1$"", (-0.3,1), black); label(scale(0.7)*""$2$"", (-0.3,2), black); label(scale(0.7)*""$3$"", (-0.3,3), black); label(scale(0.7)*""$4$"", (-0.3,4), black); label(scale(0.7)*""$5$"", (-0.3,5), black); label(scale(0.8)*rotate(90)*""Price (dollars)"", (-1,3.2), black); label(scale(0.8)*""Weight (ounces)"", (3.2,-1), black); dot((1,1.2),black); dot((1,1.7),black); dot((1,2),black); dot((1,2.8),black);  dot((2,2),black); dot((2,2.9),black); dot((2,3),black); dot((2,4),black); dot((2,4.35),black); dot((2,4.8),black);  dot((3,2.5),blue); dot((3,3.4),black); dot((3,4.2),black);  dot((4,3.9),black); dot((4,5.1),black);  dot((5,4.5),black); dot((5,5),black); [/asy]
We then proceed in the same way that we had done in Solution 1. Following the steps, we figure out the blue dot that yields the lowest slope, along with passing the origin. We then can look at the x-axis(in this situation, the weight) and figure out it has $\boxed{3}$ ounces.",3
